Title,Price,Room
" 8 Saint Mary's Avenue, Rathfarnham, Dublin 14"," €2,600 / month ", 2 beds 
" 71 Fairview Strand, Fairview, Dublin 3"," €1,400 / month ", 1 bed 
" The Oaks, Herbert Park Lane, Anglesea Road, Ballsbridge, Dublin 4"," €2,200 / month ", 1 bed 
" 43 Shanard Road, Santry, Dublin 9"," €22,000 / year ",59m 2
" 3 The Orchard, Booterstown Avenue, Booterstown, County Dublin"," €2,800 / month ", 2 beds 
" Kilcronan Avenue, Clondalkin, Dublin 22"," €2,400 / month ", 3 beds 
" Blanchville, Dunbell, Kilkenny, Kilkenny",POA,none
" The Ash, Parkview, Stepaside, Dublin 18"," €2,600 / month ", 2 beds 
" Brownsford, Inistioge, Kilkenny"," €1,650 / month ", 3 beds 
" 5A Sandyford Business Centre, Blackthorn Road, 382.73, Dublin 18, Dublin",POA,382.73m 2
" Teach An Droichid, 43 Pembroke Lane, Ballsbridge, Dublin 4"," €15,000 / month ", 4 beds 
" Radharc An Chaolaire, Furbo, Galway"," €4,600 / month ", 4 beds 
" Seskin View Road, Tallaght, Dublin 24"," €2,200 / month ", 3 beds 
" Bertram Court, Dublin 8, Dublin"," €1,800 / month ", 1 bed 
" Kilcare Drive, Tallaght, Dublin 24"," €2,100 / month ", 2 beds 
" Armagh Road, Crumlin, Dublin 12"," €1,750 / month ", 2 beds 
" 3 Bellvue Villas, Tivoli, Co. Cork"," €1,500 / month ", 1 bed 
" The Maples, Dunstuffnage Hall, Stillorgan, Dublin"," €1,696 / month ", 1 bed 
" Castle Walk, CO.DUB, Cherrywood, Dublin"," €3,050 / month ", 3 beds 
" The Orchard, Lucan, Dublin"," €2,400 / month ", 3 beds 
" Lambs Head, Caherdaniel, Co. Kerry"," €3,150 / month ",
" 18 Newpark Close, Chapel Lane, Kinsealy, County Dublin"," €3,500 / month ", 4 beds 
" 7 Arran Quay, Dublin 7, Dublin", POA ,236m 2
" 304 O'Connell Court, Waterford, Waterford City, Waterford"," €1,400 / month ", 2 beds 
" Elmville, Harolds Cross Road, Harold Cross, Dublin 6W, Dublin"," €2,450 / month ", 1 bed 
" Elmville, Harolds Cross Road, Harold Cross, Dublin 6W, Dublin"," €2,900 / month ", 2 beds 
" Elmville, Harolds Cross Road, Harold Cross, Dublin 6W, Dublin"," €2,925 / month ", 2 beds 
" Castlebridge, Maynooth, Kildare"," €3,500 / month ", 4 beds 
" Belfry Avenue, Citywest, Dublin 24"," €2,700 / month ", 2 beds 
" The Granary, Distillery Lofts, Drumcondra, Dublin 3"," €3,000 / month ", 2 beds 
" Cedarbrook Avenue, Cherry Orchard, Dublin 10"," €1,671 / month ", 2 beds 
" Ellensborough Avenue, Kiltipper, Dublin", €550 / month , 1 bed 
" The Granary, Distillery Loft, Drumcondra, Dublin 3"," €5,000 / month ", 3 beds 
" 19 St Pancras House, Terenure, Dublin 6W"," €4,500 / month ", 3 beds 
" Spencer Place, Dublin 1, Dublin"," €2,400 / month ", 1 bed 
" Spencer Place, Dublin 1, Dublin"," €3,000 / month ", 2 beds 
" 4 Harbour Court, Baltimore, West Cork"," €750 to €1,250 / week ", 3 beds 
" The Orchard, Lucan, County Dublin"," €2,400 / month ", 3 baths 
" Belfry Manor, Citywest, Dublin"," €1,900 / month ", 2 beds 
" Shackleton Glebe, Shackleton Park, Lucan, Co.Dublin, Co. Dublin"," €1,875 / month ", 1 bed 
" Shackleton Glebe, Shackleton Park, Lucan, Co.Dublin, Co. Dublin"," €2,250 / month ", 2 beds 
" Hamilton Gardens, Stokes House, Carnlough Road, Cabra, Dublin 7"," €1,925 / month ", 1 bed 
" 11 Bank Hall, Arklow, Wicklow"," €1,800 / month ", 3 beds 
" Portlaoise Mart, Meelick, Co. Laois"," €4,167 ",Industrial Units 
" Virginia Hall, Tallaght, Dublin 24"," €1,950 / month ", 2 beds 
" 8 Ring of Kerry Cottages, Killorglin, Kerry"," €1,300 / month ", 3 beds 
" Commercial Unit @ 87 North Strand Rd, Corner of North Strand Rd & Poplar Row, North Strand, Dublin 3"," €30,000 / year ",94m 2
" 6 Ashdown, Circular Road, Galway"," €3,950 / month ", 4 beds 
" Old Court Lodge, Ballycullen, Dublin 24"," €1,585 / month ", 2 beds 
" 8 Westgate Business Park, Kilrush Road, Ennis, Co. Clare"," €1,000 ", 6 beds 
" 1 Bridge Street, Milltown, Kerry"," €1,100 / month ", 4 beds 
" Lower Grangegorman Road , Smithfield, Dublin 7", €258 / week , 1 bed 
" Castle Walk, CO.DUB, Cherrywood, Dublin"," €3,200 / month ", 3 beds 
" Castle Walk, CO.DUB, Cherrywood, Dublin"," €3,675 / month ", 4 beds 
" 6 The Cloisters, Kilkee, Clare"," €1,600 / month ",
" Carrig Court, Citywest, County Dublin"," €1,900 / month ", 2 beds 
" Park Glen, Grangerath, Drogheda, Meath"," €1,428 / month ", 2 beds 
" Capital Dock Residence, Grand Canal, Grand Canal Dock, Dublin 2, South Dublin City, Dublin 2, Dublin"," €3,369 / month ", 2 beds 
" Aughagower, Westport, Mayo"," €1,600 / month ", 5 beds 
" Rice Park, Waterford",POA, 1 bed 
" 3 Bedroom Apartments, Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9"," €3,600 / month ", 3 beds 
" Walled Garden, Wyckham Way, Dublin 14, Dundrum"," €2,150 / month ", 1 bed 
" 2 Balally Road , Dundrum, Dublin 16"," €4,200 / month ", 3 beds 
" Quayside Quarter @ Dublin Landings, Docklands, Dublin 1"," €3,320 / month ", 2 beds 
" Opus at 6 Hanover Quay, Grand Canal Dk, Dublin 2"," €6,000 / month ", 3 beds 
" Opus at 6 Hanover Quay, Grand Canal Dk, Dublin 2"," €4,000 / month ", 2 beds 
" Opus at 6 Hanover Quay, Grand Canal Dk, Dublin 2"," €4,200 / month ", 3 beds 
" Opus at 6 Hanover Quay, Grand Canal Dk, Dublin 2"," €3,150 / month ", 2 beds 
" Rathcoole Park, Rathcoole, County Dublin"," €2,500 / month ", 4 beds 
" Kellys Corner, Lifford Road, Ennis, Co. Clare",POA,130.1m 2
" Hot Stone Pizzeria, Off Main Street, Skibbereen,   West Cork", €300 / week ,none
" 17 Ballymany Park, Newbridge, Kildare"," €2,325 / month ", 3 beds 
" Bellsgrove, Ballyheelan, Kilnaleck, Co. Cavan"," €4,000 / month ", 1 bath 
" Ailesbury Oaks, Ailesbury Road, Dublin 4, Dublin"," €5,000 / month ", 4 beds 
" 30 Princes Street, Cork City, Cork"," €40,000 / year ",160m 2
" Murrisk, Westport, Mayo"," €1,900 / month ",House 
" Killyfad (Lands), Cullyfad, LD11495, Co. Longford", €167 / month ,
" Rosslare Port Lorry Parking, Kilrnae Business Park, Rosslare Harbour, Rosslare, Wexford", POA ,none
" 53/54 Tullow Street, Carlow Town, Carlow",POA,1000m 2
" Hamilton Gardens, The Parsons Building, Carnlough Road, Cabra, Dublin 7"," €2,450 / month ", 2 beds 
" Gusserane, New Ross, Wexford",POA, 4 beds 
" Opus at 6 Hanover Quay, Grand Canal Dk, Dublin 2"," €3,572 / month ", 2 beds 
" Fair Green, Borrisokane, Tipperary", POA ,
" Link Road, Smithstown , Shannon, Clare"," €7,000 / year ",934m 2
" Killimor Village, Ballinasloe, Galway", €450 / month ,21m 2
" Killimor Village, Ballinasloe, Galway",POA, 4 beds 
" Woodford Court, Clondalkin, Dublin 22"," €1,100 / month ", 1 bed 
" St. Clare's Park, Dublin 6W, Harold's Cross"," €2,422 / month ", 2 beds 
" Hamilton Gardens, Stokes House, Carnlough Road, Cabra, Dublin 7"," €2,175 / month ", 1 bed 
" Hamilton Gardens, Stokes House, Carnlough Road, Cabra, Dublin 7"," €3,700 / month ", 3 beds 
" 19 Michael Street, Waterford City, Waterford"," €16,000 / year ", 1 bath 
" Elmfield by havitat, Ballyogan Road, Dublin 18, Leopardstown"," €2,233 / month ", 2 beds 
" Elmfield by havitat, Ballyogan Road, Dublin 18, Leopardstown"," €2,051 / month ", 1 bed 
" St. Clare's Park, Dublin 6W, Harold's Cross"," €2,149 / month ", 1 bed 
" The Elysian, Eglinton Road, Co. Cork, Cork City, Cork"," €3,328 / month ", 3 beds 
" Quayside Quarter at Dublin Landings, Docklands, Dublin 1"," €4,980 / month ", 3 beds 
" Abbey St., Cahir, Tipperary", €750 / month ,none
" Derryfadda, Ballyforan, Ballinasloe, Co. Galway"," €1,000 / month ", 3 beds 
" Maple Drive, Oldtown Demesne, Naas, Kildare"," €2,244 / month ", 4 beds 
" Henry Street, Kilrush, Co. Clare"," €1,250 ", 1 bath 
" Heynestown, Dundalk, Co. Louth"," €1,350 / month ", 4 beds 
" 42 The Terrace , Malahide, County Dublin"," €2,719 / month ", 3 beds 
" 12 Fountain View, Baileborough, Bailieborough, Co. Cavan", €750 / month , 2 beds 
" Windsor Road, Dublin 6"," €7,000 / month ", 4 beds 
" 38 Beechwood Heath, Clonee, Dublin 15"," €2,375 / month ", 3 beds 
" Aylmer Road, Newcastle, Dublin", €900 / month , 1 bed 
" 18 Yorke Street, Dundalk, Louth"," €1,230 / month ", 2 beds 
" Ballymun Road, Ballymun, Dublin 11", €225 / week , 7 beds 
" Sean McDermott Street Apartments, Sean McDermott Street Lower, Dublin",POA,
" Crinstown Maynooth, Co. Kildare"," €1,500 / month ", 1 bed 
" Cruckakeehan, Annagry, Donegal", POA ,none
" 85 Nutley Lane, Donnybrook, Dublin 4"," €10,000 / month ", 5 beds 
" Unit 3, The Mill Yard, Sixmilebridge, Clare",POA, 1 bath 
" Unit 31, North Main Street, Naas, Kildare"," €23,000 / year ",66m 2
" Clarion Village, Clarion Road, Ballytivnan, Sligo City, Sligo", €210 / week , 2 beds 
" Clarion Village, Clarion Road, Ballytivnan, Sligo City, Sligo", €275 / week , 3 beds 
" Main Street, Rathangan, Kildare",POA,none
" 10 A Beechgrove Terrace, Drogheda, Louth"," €15,000 / year ",77m 2
" For Lease Derryluskin, Fethard, Tipperary"," €12,000 / year ",344m 2
" Ground Floor Market Plaza Magdalene Street, Drogheda, Louth"," €20,000 / year ",161m 2
" Third Floor, Market Plaza Magdalene Street, Drogheda, Louth"," €16,000 / year ",143m 2
" 3 Bayview Heights, Ballybane, Galway City, Galway"," €1,200 / month ", 3 beds 
" Chester House, Fairgreen, Drogheda, Louth"," €14,000 / year ",none
" 18 Temple court Hogan place Dublin , Dublin 2, Dublin"," €1,500 / month ", 1 bed 
" Carysfort Park, Co. Dublin"," €3,100 / month ", 3 beds 
" Laurence Street, Drogheda, Louth", POA ,none
" Shrewsbury Square, Dublin 4"," €5,000 / month ", 3 beds 
" Unit 12 & 13, Greenhills Industrial Village, Greenhills, Drogheda, Louth",POA,none
" Apartment 1, 77 Main Street, Carrickmacross, Monaghan", €750 / month , 1 bed 
" 14a Westbury Woods, managed , Enniscorthy, Wexford"," €1,100 / month ", 2 beds 
" Bank Building Dowra, Dowra, Co. Leitrim", POA ,Detached 
